JANA 2.0.0dev [Revision]
Loaded config file 'jana.config'.

[TRACE] 0: : Looking for './JTestOld.so' ....
[TRACE] 0: : Failed to attach './JTestOld.so'
[TRACE] 0: : Looking for '/home/nbrei/src/jana2/Linux_CentOS7-x86_64-gcc4.8.5/plugins/JTestOld.so' ....
[TRACE] 0: : Found!
Opening source "dummy_evt_src" - JEventSource_jana_test : JTest Fake Event Source

                   Config. Parameters
  =====================================================
            name                         value
  -------------------------   -------------------------
       benchmark:minthreads = 4
       benchmark:threadstep = 4
  jana:debug_plugin_loading = 1
       jana:extended_report = 1
                    NEVENTS = 0
                    plugins = JTestOld

Start processing ...
Waiting for event source to start producing ... rate: 0
JEventProcessor_jana_test::Init() called
Rate: 16638.4Hz   -  ready to begin test
nthreads=36  rate=17349.3Hz  (avg = 17269.5 +/- 27.8964 Hz)
nthreads=36  rate=17196.4Hz  (avg = 17264.6 +/- 26.4577 Hz)
Setting NTHREADS = 40 ...
nthreads=40  rate=17911.4Hz  (avg = 17911.4 +/- -nan Hz)
nthreads=40  rate=17893.3Hz  (avg = 17902.3 +/- 5.91236 Hz)
nthreads=40  rate=18084.9Hz  (avg = 17963.2 +/- 49.8388 Hz)
nthreads=40  rate=18094.7Hz  (avg = 17996.1 +/- 46.9857 Hz)
nthreads=40  rate=17942.3Hz  (avg = 17985.3 +/- 38.8012 Hz)
nthreads=40  rate=18131.2Hz  (avg = 18009.6 +/- 39.2292 Hz)
nthreads=40  rate=17953.8Hz  (avg = 18001.7 +/- 34.4226 Hz)
nthreads=40  rate=18007Hz  (avg = 18002.3 +/- 30.1267 Hz)
nthreads=40  rate=18031.9Hz  (avg = 18005.6 +/- 26.9617 Hz)
nthreads=40  rate=17922.1Hz  (avg = 17997.3 +/- 25.5293 Hz)
nthreads=40  rate=18030Hz  (avg = 18000.2 +/- 23.3802 Hz)
nthreads=40  rate=18098.9Hz  (avg = 18008.5 +/- 22.83 Hz)
nthreads=40  rate=17989.8Hz  (avg = 18007 +/- 21.1182 Hz)
nthreads=40  rate=18138.6Hz  (avg = 18016.4 +/- 21.6014 Hz)
nthreads=40  rate=18099.9Hz  (avg = 18022 +/- 20.8666 Hz)
Setting NTHREADS = 44 ...
nthreads=44  rate=18748.3Hz  (avg = 18748.3 +/- -nan Hz)
nthreads=44  rate=18764.2Hz  (avg = 18756.2 +/- 5.31521 Hz)
nthreads=44  rate=18830.2Hz  (avg = 18780.9 +/- 20.4761 Hz)
nthreads=44  rate=18864.1Hz  (avg = 18801.7 +/- 23.6962 Hz)
nthreads=44  rate=18781.2Hz  (avg = 18797.6 +/- 19.3208 Hz)
nthreads=44  rate=18668.4Hz  (avg = 18776.1 +/- 25.4141 Hz)
nthreads=44  rate=18772.2Hz  (avg = 18775.5 +/- 21.7853 Hz)
nthreads=44  rate=18812.2Hz  (avg = 18780.1 +/- 19.5349 Hz)
nthreads=44  rate=18828.2Hz  (avg = 18785.4 +/- 18.0781 Hz)
nthreads=44  rate=18767.2Hz  (avg = 18783.6 +/- 16.3609 Hz)
nthreads=44  rate=18737.3Hz  (avg = 18779.4 +/- 15.4096 Hz)
nthreads=44  rate=18919.1Hz  (avg = 18791 +/- 17.9978 Hz)
nthreads=44  rate=18690.2Hz  (avg = 18783.3 +/- 18.2083 Hz)
nthreads=44  rate=18758.4Hz  (avg = 18781.5 +/- 16.9921 Hz)
nthreads=44  rate=18825.1Hz  (avg = 18784.4 +/- 16.1046 Hz)
Setting NTHREADS = 48 ...
nthreads=48  rate=19426.3Hz  (avg = 19426.3 +/- -nan Hz)
nthreads=48  rate=19405.6Hz  (avg = 19416 +/- 7.47964 Hz)
nthreads=48  rate=19667.3Hz  (avg = 19499.7 +/- 68.5888 Hz)
nthreads=48  rate=19599.4Hz  (avg = 19524.7 +/- 55.7788 Hz)
nthreads=48  rate=19505.5Hz  (avg = 19520.8 +/- 44.7615 Hz)
nthreads=48  rate=19534.5Hz  (avg = 19523.1 +/- 37.354 Hz)
nthreads=48  rate=19495.5Hz  (avg = 19519.2 +/- 32.2261 Hz)
nthreads=48  rate=19475.5Hz  (avg = 19513.7 +/- 28.6525 Hz)
nthreads=48  rate=19518.5Hz  (avg = 19514.2 +/- 25.4731 Hz)
nthreads=48  rate=19524.5Hz  (avg = 19515.3 +/- 22.9445 Hz)
nthreads=48  rate=19433.5Hz  (avg = 19507.8 +/- 22.0299 Hz)
nthreads=48  rate=19696.3Hz  (avg = 19523.5 +/- 25.1784 Hz)
nthreads=48  rate=19579.4Hz  (avg = 19527.8 +/- 23.6054 Hz)
nthreads=48  rate=19640.3Hz  (avg = 19535.9 +/- 23.2463 Hz)
nthreads=48  rate=19597.4Hz  (avg = 19540 +/- 22.055 Hz)
Writing test results to: JANA_Test_Results
Testing finished
JEventProcessor_jana_test::Finish() called
Total # objects = 80866934
