JANA 2.0.0dev [Revision]
Loaded config file 'jana.config'.

[TRACE] 0: : Looking for './JTestOld.so' ....
[TRACE] 0: : Failed to attach './JTestOld.so'
[TRACE] 0: : Looking for '/home/nbrei/src/jana2/Linux_CentOS7-x86_64-gcc4.8.5/plugins/JTestOld.so' ....
[TRACE] 0: : Found!
Opening source "dummy_evt_src" - JEventSource_jana_test : JTest Fake Event Source

                   Config. Parameters
  =====================================================
            name                         value
  -------------------------   -------------------------
       benchmark:minthreads = 4
       benchmark:threadstep = 4
  jana:debug_plugin_loading = 1
           jana:legacy_mode = 0
                    NEVENTS = 0
                    plugins = JTestOld

Start processing ...
Waiting for event source to start producing ... rate: 0
Rate: 16409Hz   -  ready to begin test
nthreads=40  rate=17423.8Hz  (avg = 17390.1 +/- 11.0106 Hz)
Setting NTHREADS = 44 ...
nthreads=44  rate=18151.6Hz  (avg = 18151.6 +/- 3.81125 Hz)
nthreads=44  rate=18111.2Hz  (avg = 18131.4 +/- 14.3531 Hz)
nthreads=44  rate=18076.4Hz  (avg = 18113.1 +/- 17.7165 Hz)
nthreads=44  rate=18127.4Hz  (avg = 18116.6 +/- 13.672 Hz)
nthreads=44  rate=18155.4Hz  (avg = 18124.4 +/- 12.9392 Hz)
nthreads=44  rate=18138.5Hz  (avg = 18126.7 +/- 11.0016 Hz)
nthreads=44  rate=18144.2Hz  (avg = 18129.2 +/- 9.72069 Hz)
nthreads=44  rate=18101.5Hz  (avg = 18125.8 +/- 9.09467 Hz)
nthreads=44  rate=18177.8Hz  (avg = 18131.5 +/- 9.74278 Hz)
nthreads=44  rate=18146.8Hz  (avg = 18133.1 +/- 8.89042 Hz)
nthreads=44  rate=18235.8Hz  (avg = 18142.4 +/- 12.0303 Hz)
nthreads=44  rate=18169.6Hz  (avg = 18144.7 +/- 11.2438 Hz)
nthreads=44  rate=18230.3Hz  (avg = 18151.3 +/- 12.1532 Hz)
nthreads=44  rate=18299.8Hz  (avg = 18161.9 +/- 15.2287 Hz)
nthreads=44  rate=18161.8Hz  (avg = 18161.9 +/- 14.2152 Hz)
