JANA 2.0.0dev [Revision]
Loaded config file '/global/homes/n/nbrei/jana-perf-testing/old_jtest_scaling/exp2/jana.config'.

[TRACE] 0: : Looking for './JTestOld.so' ....
[TRACE] 0: : Failed to attach './JTestOld.so'
[TRACE] 0: : Looking for '/global/homes/n/nbrei/JANA2/Linux-x86_64-cc18.0.1/plugins/JTestOld.so' ....
[TRACE] 0: : Found!
Opening source "dummy_evt_src" - JEventSource_jana_test : JTest Fake Event Source

                   Config. Parameters
  =====================================================
            name                         value
  -------------------------   -------------------------
       benchmark:minthreads = 4
       benchmark:resultsdir = /global/homes/n/nbrei/jana-perf-testing/old_jtest_scaling/exp2
       benchmark:threadstep = 8
  jana:debug_plugin_loading = 1
           jana:legacy_mode = 0
                    NEVENTS = 0
                    plugins = JTestOld

Start processing ...
Waiting for event source to start producing ... rate: 0
Rate: 4020.35Hz   -  ready to begin test
nthreads=44  rate=5673.83Hz  (avg = 5480.32 +/- 79.954 Hz)
nthreads=44  rate=5669.54Hz  (avg = 5492.94 +/- 75.6123 Hz)
Setting NTHREADS = 52 ...
nthreads=52  rate=5589.58Hz  (avg = 5589.58 +/- 0.846125 Hz)
nthreads=52  rate=6631.08Hz  (avg = 6110.33 +/- 368.225 Hz)
nthreads=52  rate=6634.56Hz  (avg = 6285.07 +/- 283.934 Hz)
nthreads=52  rate=6381.38Hz  (avg = 6309.15 +/- 213.969 Hz)
nthreads=52  rate=5449.7Hz  (avg = 6137.26 +/- 230.083 Hz)
nthreads=52  rate=6438.04Hz  (avg = 6187.39 +/- 197.121 Hz)
nthreads=52  rate=6577.04Hz  (avg = 6243.05 +/- 176.646 Hz)
nthreads=52  rate=6655.43Hz  (avg = 6294.6 +/- 161.911 Hz)
nthreads=52  rate=6578.47Hz  (avg = 6326.14 +/- 146.961 Hz)
nthreads=52  rate=6761.61Hz  (avg = 6369.69 +/- 138.567 Hz)
nthreads=52  rate=6562.57Hz  (avg = 6387.22 +/- 127.075 Hz)
nthreads=52  rate=6600.34Hz  (avg = 6404.98 +/- 117.72 Hz)
nthreads=52  rate=5987.93Hz  (avg = 6372.9 +/- 112.951 Hz)
nthreads=52  rate=6699.99Hz  (avg = 6396.27 +/- 107.272 Hz)
nthreads=52  rate=6398.09Hz  (avg = 6396.39 +/- 100.121 Hz)
Setting NTHREADS = 60 ...
nthreads=60  rate=6495.04Hz  (avg = 6495.04 +/- 1.38543 Hz)
nthreads=60  rate=7621.49Hz  (avg = 7058.26 +/- 398.262 Hz)
nthreads=60  rate=7611.63Hz  (avg = 7242.72 +/- 305.249 Hz)
nthreads=60  rate=7578.03Hz  (avg = 7326.55 +/- 240.172 Hz)
nthreads=60  rate=7224.01Hz  (avg = 7306.04 +/- 193.011 Hz)
nthreads=60  rate=7583.74Hz  (avg = 7352.32 +/- 166.299 Hz)
nthreads=60  rate=7150.79Hz  (avg = 7323.53 +/- 145.013 Hz)
nthreads=60  rate=7422.5Hz  (avg = 7335.9 +/- 127.413 Hz)
nthreads=60  rate=6523.36Hz  (avg = 7245.62 +/- 141.676 Hz)
nthreads=60  rate=7535.01Hz  (avg = 7274.56 +/- 130.431 Hz)
nthreads=60  rate=7302.14Hz  (avg = 7277.07 +/- 118.597 Hz)
nthreads=60  rate=7581.86Hz  (avg = 7302.47 +/- 111.401 Hz)
nthreads=60  rate=7561.81Hz  (avg = 7322.42 +/- 104.602 Hz)
nthreads=60  rate=6944.69Hz  (avg = 7295.44 +/- 100.55 Hz)
nthreads=60  rate=7501.38Hz  (avg = 7309.16 +/- 94.7795 Hz)
Setting NTHREADS = 68 ...
nthreads=68  rate=7763.03Hz  (avg = 7763.03 +/- 1.27372 Hz)
nthreads=68  rate=8095.44Hz  (avg = 7929.23 +/- 117.528 Hz)
nthreads=68  rate=8451.59Hz  (avg = 8103.35 +/- 162.331 Hz)
nthreads=68  rate=8236.4Hz  (avg = 8136.62 +/- 125.109 Hz)
nthreads=68  rate=7975.45Hz  (avg = 8104.38 +/- 104.156 Hz)
nthreads=68  rate=7187.94Hz  (avg = 7951.64 +/- 164.24 Hz)
nthreads=68  rate=7216.96Hz  (avg = 7846.69 +/- 171.056 Hz)
nthreads=68  rate=8131.53Hz  (avg = 7882.29 +/- 153.335 Hz)
